Site_Name,Longitude,Latitude,Elevation
Thompson_Farm,-70.95,43.11,26
PKU_PEK,116.18,39.59,66
Yufa_PEK,116.18,39.31,20
City_GZ,113.16,23.08,58
BackGarden_GZ,113.02,23.3,150
Singapore,103.78,1.3,30
SQU_Oman,58.44,23.61,0
White_Sands_HELSTF,-106.34,32.63,1207.24
Huang_Shan,118.15,30.13,1840
Frenchman_Flat,-115.93,36.81,940
Lahore,74.32,31.54,270
Sodankyla,26.63,67.37,184
SANTA_CRUZ_UTEPSA,-63.2,-17.77,432
Moved_Bac_Giang,54.66,24.7,10
Eilat,34.92,29.5,15
USDA-Howard,-76.88,39.05,52.8
Thule,-68.77,76.52,225
Chiang_Mai,98.99,18.81,324
PEARL,-86.42,80.05,615
OPAL,-85.94,79.99,0
NASA_Ames,-122.06,37.42,10
OK_St_Univ,-97.92,35.05,331
Porquerolles,6.16,43,10
Puspiptek,106.66,-6.36,15
Burjassot,-0.42,39.51,30
Dilar,-3.38,37.06,2896
La_Laguna,-16.32,28.48,568
Mount_Gibbes,-82.29,35.78,2006
LA-TM,119.44,30.32,439
Bucharest_Inoe,26.03,44.35,93
Calipso_Strasburg,-76.22,39.93,131
Calipso_Prt_Deposit,-76.12,39.6,4
Calipso_Price,-75.96,39.1,5
Calipso_West_Denton,-75.89,38.91,15
Calipso_Brookview,-75.79,38.58,0
Calipso_Mardela_Spr,-75.75,38.47,8
Calipso_Princess_An,-75.68,38.21,4
Calipso_Ninetown_Rd,-75.91,38.96,12
Calipso_Poplar_Tree,-77.41,38.86,93
Calipso_Sterling_PO,-77.46,39,70
Calipso_Ashburn,-77.48,39.07,114
Calipso_Peckman_Frm,-77.75,39.94,189
OBERNAI,7.54,48.44,161
Calipso_Zion,-76.2,39.93,120
Calipso_Perryville,-76.07,39.56,16
Calipso_Kennedyvill,-75.99,39.31,17
Calipso_Pine_Cove,-75.97,39.24,7
Calipso_Bowers_Rd,-75.96,39.19,14
Calipso_Ridgely,-75.88,38.95,15
Calipso_WofDenton,-75.86,38.9,14
Calipso_WillistonLk,-75.85,38.83,5
Calipso_Harrison_Rd,-75.77,38.63,21
Calipso_NUFerry_Rd,-75.69,38.35,3
Silpakorn_Univ,100.04,13.82,72
Chiang_Mai_Met_Sta,98.97,18.77,312
Songkhla_Met_Sta,100.6,7.18,15
Calipso_Belmont_Scl,-77.49,39.09,94
Calipso_Fincastle,-77.48,39.05,81
Calipso_Braddock_Rd,-77.41,38.83,110
Calipso_Kinchaloe,-77.39,38.76,46
Calipso_W_Strasburg,-76.23,39.95,113
Calipso_Church_Hill,-75.98,39.15,14
Calipso_Tuckahoe,-75.93,38.98,6
Calipso_Washtn_High,-75.69,38.18,1
Calipso_W_Mardela,-75.77,38.46,6
Calipso_Cooper_Rd,-75.73,38.33,3
Calipso_Loudon_Rd,-77.79,39.94,201
Calipso_Sanders_ES,-77.51,39.04,99
Calipso_Westfield_H,-77.46,38.89,88
Calipso_Ormand_MS,-77.45,38.86,76
Hotan,79.93,37.13,1374.7
HAMI,93.52,42.82,738.8
Hangzhou-ZFU,119.73,30.26,14
Calipso_Flat_Iron,-76,39.11,19
Calipso_White_Marsh,-75.99,39.08,13
Calipso_Crouse_Mill,-75.95,38.96,15
Calipso_Hillsboro,-75.94,38.92,5
Calipso_Hurlock,-75.85,38.62,8
Calipso_Vienna,-75.82,38.49,0
Gual_Pahari,77.15,28.43,384
Yaqui,-109.91,27.28,40
Abisko,18.82,68.35,390
Calipso_Signal_Hill,-77.44,38.75,87
Ragged_Point,-59.43,13.17,40
Issyk-Kul,76.98,42.62,1650
Calipso_Morgnec_Rd,-76.03,39.24,0
Calipso_Church_H_Rd,-76,39.13,15
Calipso_Dean_Rd,-75.96,39,11
Calipso_Hillsboro_E,-75.93,38.92,12
Black_Forest_AMF,8.4,48.54,511
Autilla,-4.6,42,873
Suffield,-111.13,50.28,761.77
Kirtland_AFB,-106.51,34.95,1711.31
CRPSM_Malindi,40.19,-3,12
Leicester,-1.12,52.62,89
Hangzhou_City,120.16,30.29,30
South_Pole_Obs_NOAA,70.3,-90,2850
EIM-Sindos,22.8,40.69,12
Marambio,-56.63,-64.24,200
Urumqi,87.57,43.87,767.4
Le_Fauga,1.28,43.38,193
Solar_Light,-75.15,40.1,75
Sinhgad,73.75,18.37,1450
Trivandrum,76.87,8.53,0
Ahmedabad,72.52,23.02,55
Zinder_DMN,8.98,13.78,460
Yellowknife,-114.41,62.45,201
Iqaluit,-68.54,63.75,15
Kandahar,65.85,31.51,1007
Kangerlussuaq,-50.62,67,320
Ponmudi,77.12,8.76,879
Jingtai,104.1,37.33,1604
Zhangye,100.28,39.08,1461
TRV_SPL,76.88,8.52,35
Vishkhapatnam,83.33,17.72,30
UAHuntsville,-86.64,34.73,223
Nainital,79.46,29.36,1939
Pantnagar,79.52,29.05,241
Bareilly,79.44,28.39,169
Mobile_N_050608,80.44,26.51,103
Mobile_C_050608,80.49,26.3,103
Mobile_S_050608,80.53,26.13,103
Hand_N_050608,80.48,26.33,103
Hand_S_050608,80.49,26.29,103
Hand_E_050608,80.51,26.31,103
Hand_W_050608,80.46,26.3,103
Bushland,-102.09,35.19,1168
Mobile_Kanpur_West,80.12,26.42,130
Mobile_Kanpur_East,80.44,26.46,115
Chitrakoot,80.86,25.15,167
Hand_Kanpur_North,80.31,26.5,127
Hand_Kanpur_South,80.32,26.41,129
Hand_Kanpur_RR,80.35,26.46,128
Hand_Kanpur_Panki,80.26,26.48,128
Mobile_DDun_051308W,77.95,30.23,706
Mobile_N_051308W,78.78,26.99,139
Mobile_S_051308W,78.87,26.64,142
Mobile_N_051508E,81.93,26.77,100
Mobile_S_051508E,82.06,26.24,90
Mobile_N_052208,80.46,26.51,127
Mobile_C_052208,80.51,26.31,101
Mobile_S_052208,80.56,26.12,127
Hand_N_052208,80.51,26.33,127
Hand_E_052208,80.54,26.31,127
Hand_W_052208,80.49,26.31,127
Hand_S_052208,80.52,26.29,127
Saint_Mandrier,5.94,43.07,44
Bozeman,-111.05,45.67,1530
Mobile_S_052908W,78.9,26.66,147
Mobile_N_052908W,78.83,26.95,156
Mobile_Kanpur_South,80.3,26.35,128
Mobile_Kanpur_SE,80.42,26.38,128
Mobile_N_053108E,81.97,26.77,106
Mobile_S_053108E,82.11,26.22,0
Mobile_Kanpur_W2,80.12,26.42,130
Mobile_N_060708,80.51,26.53,174
Mobile_C_060708,80.53,26.45,155
Mobile_S_060708,80.61,26.11,142
Hand_N_060708,80.52,26.47,170
Hand_W_060708,80.5,26.44,170
Hand_E_060708,80.55,26.45,170
Hand_S_060708,80.53,26.43,170
Kanzelhohe_Obs,13.91,46.68,1526
Valladolid_Sci,-4.71,41.66,701
Ersa,9.36,43,80
Mobile_N_061408W,78.86,26.93,154
Mobile_S_061408W,78.92,26.68,149
Mobile_N_061608E,81.98,26.77,85
Mobile_S_061608E,82.1,26.31,76
Mobile_N_062308,80.48,26.51,126
Mobile_C_062308,80.53,26.31,117
Mobile_S_062308,80.57,26.15,122
Hand_N_062308,80.47,26.53,128
Hand_E_062308,80.5,26.52,125
Hand_S_062308,80.48,26.49,127
Hand_W_062308,80.45,26.51,124
Kanpur_Central_RR,80.35,26.46,128
